Country Name,GDP [YR2015]
Afghanistan,19215562178.9798
Albania,11335264966.561
Algeria,165874330876.321
American Samoa,659000000
Andorra,2811489408.89431
Angola,102962245246.708
Antigua and Barbuda,1364863037.03704
Argentina,584711485367.267
Armenia,10553337672.9872
Aruba,..
Australia,1345383143356.35
Austria,382065930307.978
Azerbaijan,53074370486.0433
"Bahamas, The",11240000000
Bahrain,31125851063.8298
Bangladesh,195078665827.565
Barbados,4584150000
Belarus,56454734396.5842
Belgium,455200045095.643
Belize,1742545900
Benin,8290986804.45245
Bermuda,..
Bhutan,2059258652.94668
Bolivia,33000198263.3864
Bosnia and Herzegovina,16209702863.6235
Botswana,14430573505.3797
Brazil,1803652649613.75
British Virgin Islands,..
Brunei Darussalam,12930394937.8137
Bulgaria,50199117547.0415
Burkina Faso,10419303761.3524
Burundi,3066681386.73841
Cabo Verde,1574288667.69981
Cambodia,18049954289.4229
Cameroon,30916218544.4404
Canada,1552807652015.37
Cayman Islands,..
Central African Republic,1583776759.97697
Chad,10888798113.7866
Channel Islands,..
Chile,242517905161.664
China,11064666282625.5
Colombia,291519596338.693
Comoros,565689764.63263
"Congo, Dem. Rep.",36188521106.9294
"Congo, Rep.",8553154580.39951
Costa Rica,54840103850.265
Cote d'Ivoire,33145096414.0731
Croatia,48921877447.764
Cuba,87132800000
Curacao,..
Cyprus,19676167239.6584
Czech Republic,186829940545.759
Denmark,301298464861.385
Djibouti,1727000000
Dominica,535095846.296296
Dominican Republic,68102618092.1031
Ecuador,99290381000
"Egypt, Arab Rep.",332698041030.807
El Salvador,26052340000
Equatorial Guinea,12597210657.5048
Eritrea,..
Estonia,22566956982.229
Ethiopia,64464547915.2698
Faroe Islands,2476746087.18917
Fiji,4391113415.33181
Finland,232439324529.645
France,2433562015516.21
French Polynesia,..
Gabon,14262032470.9041
"Gambia, The",907652509.516259
Georgia,13993546732.4726
Germany,3375611100742.22
Ghana,37543361203.5609
Gibraltar,..
Greece,195541761243.144
Greenland,2220380802.33059
Grenada,997007925.925926
Guam,5697000000
Guatemala,63767597193.9175
Guinea,8767143622.83101
Guinea-Bissau,1036130506.53639
Guyana,3197225181.59806
Haiti,8724656126.49849
Honduras,20844284855.0025
"Hong Kong SAR, China",309403880389.071
Hungary,122879042001.915
Iceland,16783714958.4498
India,2089865410867.82
Indonesia,861256351277.359
"Iran, Islamic Rep.",385874474398.59
Iraq,179640210726.448
Ireland,290617006703.972
Isle of Man,6792417112.29947
Israel,299096404728.826
Italy,1832347450961.51
Jamaica,14186886642.6685
Japan,4383076298081.86
Jordan,37517410281.6901
Kazakhstan,184388432148.715
Kenya,63767539356.6051
Kiribati,169140538.696106
"Korea, Dem. Peopleâ€™s Rep.",..
"Korea, Rep.",1382764027113.82
Kosovo,6440501275.36875
Kuwait,114567298105.683
Kyrgyz Republic,6678178340.45121
Lao PDR,14390391264.2607
