,Population 2016,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Ranking,,Economy,(thousands),,,,,,,
,,,,,,,,,,,
CHN,1,,China,"1,378,665",,,,,,,
IND,2,,India,"1,324,171",,,,,,,
USA,3,,United States,"323,128",,,,,,,
IDN,4,,Indonesia,"261,115",,,,,,,
BRA,5,,Brazil,"207,653",,,,,,,
PAK,6,,Pakistan,"193,203",,,,,,,
NGA,7,,Nigeria,"185,990",,,,,,,
BGD,8,,Bangladesh,"162,952",,,,,,,
RUS,9,,Russian Federation,"144,342",,,,,,,
MEX,10,,Mexico,"127,540",,,,,,,
JPN,11,,Japan,"126,995",,,,,,,
PHL,12,,Philippines,"103,320",,,,,,,
ETH,13,,Ethiopia,"102,403",,,,,,,
EGY,14,,"Egypt, Arab Rep.","95,689",,,,,,,
VNM,15,,Vietnam,"92,701",,,,,,,
DEU,16,,Germany,"82,668",,,,,,,
IRN,17,,"Iran, Islamic Rep.","80,277",,,,,,,
TUR,18,,Turkey,"79,512",,,,,,,
COD,19,,"Congo, Dem. Rep.","78,736",,,,,,,
THA,20,,Thailand,"68,864",,,,,,,
FRA,21,,France,"66,896",,,,,,,
GBR,22,,United Kingdom,"65,637",,,,,,,
ITA,23,,Italy,"60,601",,,,,,,
ZAF,24,,South Africa,"55,909",,,,,,,
TZA,25,,Tanzania,"55,572",,,,,,,
MMR,26,,Myanmar,"52,885",,,,,,,
KOR,27,,"Korea, Rep.","51,246",,,,,,,
COL,28,,Colombia,"48,653",,,,,,,
KEN,29,,Kenya,"48,462",,,,,,,
ESP,30,,Spain,"46,444",,,,,,,
UKR,31,,Ukraine,"45,005",,,,,,,
ARG,32,,Argentina,"43,847",,,,,,,
UGA,33,,Uganda,"41,488",,,,,,,
DZA,34,,Algeria,"40,606",,,,,,,
SDN,35,,Sudan,"39,579",,,,,,,
POL,36,,Poland,"37,948",,,,,,,
IRQ,37,,Iraq,"37,203",,,,,,,
CAN,38,,Canada,"36,286",,,,,,,
MAR,39,,Morocco,"35,277",,,,,,,
AFG,40,,Afghanistan,"34,656",,,,,,,
SAU,41,,Saudi Arabia,"32,276",,,,,,,
UZB,42,,Uzbekistan,"31,848",,,,,,,
PER,43,,Peru,"31,774",,,,,,,
VEN,44,,"Venezuela, RB","31,568",,,,,,,
MYS,45,,Malaysia,"31,187",,,,,,,
NPL,46,,Nepal,"28,983",,,,,,,
MOZ,47,,Mozambique,"28,829",,,,,,,
AGO,48,,Angola,"28,813",,,,,,,
GHA,49,,Ghana,"28,207",,,,,,,
YEM,50,,"Yemen, Rep.","27,584",,,,,,,
PRK,51,,"Korea, Dem. People's Rep.","25,369",,,,,,,
MDG,52,,Madagascar,"24,895",,,,,,,
AUS,53,,Australia,"24,127",,,,,,,
CIV,54,,Côte d'Ivoire,"23,696",,,,,,,
CMR,55,,Cameroon,"23,439",,,,,,,
LKA,56,,Sri Lanka,"21,203",,,,,,,
NER,57,,Niger,"20,673",,,,,,,
ROU,58,,Romania,"19,705",,,,,,,
BFA,59,,Burkina Faso,"18,646",,,,,,,
SYR,60,,Syrian Arab Republic,"18,430",,,,,,,
MWI,61,,Malawi,"18,092",,,,,,,
