Country Name,Latitude (average),Longitude (average),Series Name,Series Code,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Albania,41.0,20.0,Battle-related deaths (number of people),VC.BTL.DETH,ALB,..,..,..,..,..,..,..,..,..,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,28.0,3.0,Battle-related deaths (number of people),VC.BTL.DETH,DZA,..,34,257,800,1916,3008,1084,1403,3029,1016,931,642,538,670,397,217,255,472,339,505,236,267,256,147,107,110,86,..
American Samoa,-14.3333,-170.0,Battle-related deaths (number of people),VC.BTL.DETH,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,42.5,1.6,Battle-related deaths (number of people),VC.BTL.DETH,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,-12.5,18.5,Battle-related deaths (number of people),VC.BTL.DETH,AGO,2558,526,2321,12054,3974,162,72,50,1075,2272,943,1123,511,..,37,..,..,25,..,25,..,..,..,..,..,..,..,..
Antigua and Barbuda,17.05,-61.8,Battle-related deaths (number of people),VC.BTL.DETH,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,-34.0,-64.0,Battle-related deaths (number of people),VC.BTL.DETH,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,40.0,45.0,Battle-related deaths (number of people),VC.BTL.DETH,ARM,..,..,85,37,30,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,9,..,..,9,4,..
Aruba,12.5,-69.9667,Battle-related deaths (number of people),VC.BTL.DETH,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,-27.0,133.0,Battle-related deaths (number of people),VC.BTL.DETH,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,47.3333,13.3333,Battle-related deaths (number of people),VC.BTL.DETH,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,40.5,47.5,Battle-related deaths (number of people),VC.BTL.DETH,AZE,..,35,2082,1197,1477,44,..,29,34,..,..,..,..,..,..,24,..,..,30,..,..,..,16,..,46,63,137,..
Bahrain,26.0,50.55,Battle-related deaths (number of people),VC.BTL.DETH,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,24.0,90.0,Battle-related deaths (number of people),VC.BTL.DETH,BGD,45,25,..,..,..,..,..,..,..,..,..,..,..,..,..,62,57,..,..,..,..,..,..,..,..,..,39,..
Barbados,13.1667,-59.5333,Battle-related deaths (number of people),VC.BTL.DETH,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,53.0,28.0,Battle-related deaths (number of people),VC.BTL.DETH,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,50.8333,4.0,Battle-related deaths (number of people),VC.BTL.DETH,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,..
Belize,17.25,-88.75,Battle-related deaths (number of people),VC.BTL.DETH,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,9.5,2.25,Battle-related deaths (number of people),VC.BTL.DETH,BEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,32.3333,-64.75,Battle-related deaths (number of people),VC.BTL.DETH,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,27.5,90.5,Battle-related deaths (number of people),VC.BTL.DETH,BTN,..,..,..,..,..,..,..,4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,44.0,18.0,Battle-related deaths (number of people),VC.BTL.DETH,BIH,..,..,3972,5295,2831,1345,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,-22.0,24.0,Battle-related deaths (number of people),VC.BTL.DETH,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,-10.0,-55.0,Battle-related deaths (number of people),VC.BTL.DETH,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,4.5,114.6667,Battle-related deaths (number of people),VC.BTL.DETH,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,43.0,25.0,Battle-related deaths (number of people),VC.BTL.DETH,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,13.0,-2.0,Battle-related deaths (number of people),VC.BTL.DETH,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,-3.5,30.0,Battle-related deaths (number of people),VC.BTL.DETH,BDI,..,272,61,..,56,254,531,639,621,524,1348,1182,1170,972,387,286,141,..,201,..,..,..,..,..,49,133,..,..
Cambodia,13.0,105.0,Battle-related deaths (number of people),VC.BTL.DETH,KHM,274,220,118,274,464,694,788,426,232,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..,..
Cameroon,6.0,12.0,Battle-related deaths (number of people),VC.BTL.DETH,CMR,..,..,..,..,..,..,56,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,969,924,181,..
Canada,60.0,-95.0,Battle-related deaths (number of people),VC.BTL.DETH,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,19.5,-80.5,Battle-related deaths (number of people),VC.BTL.DETH,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
