Country Name,GDP [YR2015],Population [YR2016],Asylum [YR2016],Origin [YR2016]
Afghanistan,19215562178.9798,"34,656",17980,2501410
Albania,11335264966.561,"2,876",..,11050
Algeria,165874330876.321,"40,606",86,3675
American Samoa,659000000,56,..,..
Andorra,2811489408.89431,77,..,..
Angola,102962245246.708,"28,813",..,8363
Antigua and Barbuda,1364863037.03704,101,..,77
Argentina,584711485367.267,"43,847",..,115
Armenia,10553337672.9872,"2,925",4,10687
Aruba,..,105,..,..
Australia,1345383143356.35,"24,127",..,..
Austria,382065930307.978,"8,747",..,..
Azerbaijan,53074370486.0433,"9,762",137,10087
"Bahamas, The",11240000000,391,..,293
Bahrain,31125851063.8298,"1,425",..,446
Bangladesh,195078665827.565,"162,952",39,13810
Barbados,4584150000,285,..,144
Belarus,56454734396.5842,"9,507",..,3824
Belgium,455200045095.643,"11,348",2,44
Belize,1742545900,367,..,53
Benin,8290986804.45245,"10,872",..,464
Bermuda,..,65,..,..
Bhutan,2059258652.94668,798,..,11732
Bolivia,33000198263.3864,"10,888",..,515
Bosnia and Herzegovina,16209702863.6235,"3,517",..,18179
Botswana,14430573505.3797,"2,250",..,265
Brazil,1803652649613.75,"207,653",..,793
British Virgin Islands,..,31,..,..
Brunei Darussalam,12930394937.8137,423,..,..
Bulgaria,50199117547.0415,"7,128",..,794
Burkina Faso,10419303761.3524,"18,646",..,2327
Burundi,3066681386.73841,"10,524",..,408036
Cabo Verde,1574288667.69981,540,..,..
Cambodia,18049954289.4229,"15,762",..,12408
Cameroon,30916218544.4404,"23,439",181,10328
Canada,1552807652015.37,"36,286",..,76
Cayman Islands,..,61,..,6
Central African Republic,1583776759.97697,"4,595",..,490869
Chad,10888798113.7866,"14,453",..,14146
Channel Islands,..,165,..,..
Chile,242517905161.664,"17,910",..,490
China,11064666282625.5,"1,378,665",..,207733
Colombia,291519596338.693,"48,653",30,311051
Comoros,565689764.63263,796,..,557
"Congo, Dem. Rep.",36188521106.9294,"78,736",261,537429
"Congo, Rep.",8553154580.39951,"5,126",51,13231
Costa Rica,54840103850.265,"4,857",..,197
Croatia,48921877447.764,"4,171",..,26211
Cuba,87132800000,"11,476",..,5925
Cyprus,19676167239.6584,"1,170",..,..
Czech Republic,186829940545.759,"10,562",..,1266
Denmark,301298464861.385,"5,731",..,..
Djibouti,1727000000,942,..,1417
Dominica,535095846.296296,74,..,20
Dominican Republic,68102618092.1031,"10,649",..,344
Ecuador,99290381000,"16,385",..,1021
"Egypt, Arab Rep.",332698041030.807,"95,689",268,19742
El Salvador,26052340000,"6,345",..,19595
Equatorial Guinea,12597210657.5048,"1,221",..,126
Eritrea,..,"4,955",25,459390
Estonia,22566956982.229,"1,316",..,298
Ethiopia,64464547915.2698,"102,403",50,83894
Faroe Islands,2476746087.18917,49,..,..
Fiji,4391113415.33181,899,..,791
Finland,232439324529.645,"5,495",..,..
France,2433562015516.21,"66,896",..,45
French Polynesia,..,280,..,..
Gabon,14262032470.9041,"1,980",..,152
"Gambia, The",907652509.516259,"2,039",..,11569
Georgia,13993546732.4726,"3,719",..,6365
Germany,3375611100742.22,"82,668",..,67
Ghana,37543361203.5609,"28,207",..,15507
Gibraltar,..,34,..,..
Greece,195541761243.144,"10,747",..,101
Greenland,2220380802.33059,56,..,..
Grenada,997007925.925926,107,..,100
Guam,5697000000,163,..,..
Guatemala,63767597193.9175,"16,582",..,12534
Guinea,8767143622.83101,"12,396",..,17526
Guinea-Bissau,1036130506.53639,"1,816",..,1635
Guyana,3197225181.59806,773,..,269
Haiti,8724656126.49849,"10,847",..,29661
Honduras,20844284855.0025,"9,113",..,10479
"Hong Kong SAR, China",309403880389.071,"7,347",..,5
Hungary,122879042001.915,"9,818",..,2904
Iceland,16783714958.4498,334,..,..
India,2089865410867.82,"1,324,171",652,7243
Indonesia,861256351277.359,"261,115",..,13046
"Iran, Islamic Rep.",385874474398.59,"80,277",..,94042
Iraq,179640210726.448,"37,203",9016,315998
Ireland,290617006703.972,"4,773",..,..
Isle of Man,6792417112.29947,84,..,..
Israel,299096404728.826,"8,547",..,467
Italy,1832347450961.51,"60,601",..,44
