Country Name,Population [YR2016]
China,"1,378,665"
India,"1,324,171"
United States,"323,128"
Indonesia,"261,115"
Brazil,"207,653"
Pakistan,"193,203"
Nigeria,"185,990"
Bangladesh,"162,952"
Russian Federation,"144,342"
Mexico,"127,540"
Japan,"126,995"
Philippines,"103,320"
Ethiopia,"102,403"
"Egypt, Arab Rep.","95,689"
Vietnam,"92,701"
Germany,"82,668"
"Iran, Islamic Rep.","80,277"
Turkey,"79,512"
"Congo, Dem. Rep.","78,736"
Thailand,"68,864"
France,"66,896"
United Kingdom,"65,637"
Italy,"60,601"
South Africa,"55,909"
Tanzania,"55,572"
Myanmar,"52,885"
"Korea, Rep.","51,246"
Colombia,"48,653"
Kenya,"48,462"
Spain,"46,444"
Ukraine,"45,005"
Argentina,"43,847"
Uganda,"41,488"
Algeria,"40,606"
Sudan,"39,579"
Poland,"37,948"
Iraq,"37,203"
Canada,"36,286"
Morocco,"35,277"
Afghanistan,"34,656"
Saudi Arabia,"32,276"
Uzbekistan,"31,848"
Peru,"31,774"
"Venezuela, RB","31,568"
Malaysia,"31,187"
Nepal,"28,983"
Mozambique,"28,829"
Angola,"28,813"
Ghana,"28,207"
"Yemen, Rep.","27,584"
"Korea, Dem. People's Rep.","25,369"
Madagascar,"24,895"
Australia,"24,127"
Côte d'Ivoire,"23,696"
Cameroon,"23,439"
Sri Lanka,"21,203"
Niger,"20,673"
Romania,"19,705"
Burkina Faso,"18,646"
Syrian Arab Republic,"18,430"
Malawi,"18,092"
Mali,"17,995"
Chile,"17,910"
Kazakhstan,"17,797"
Netherlands,"17,018"
Zambia,"16,591"
Guatemala,"16,582"
Ecuador,"16,385"
Zimbabwe,"16,150"
Cambodia,"15,762"
Senegal,"15,412"
Chad,"14,453"
Somalia,"14,318"
Guinea,"12,396"
South Sudan,"12,231"
Rwanda,"11,918"
Cuba,"11,476"
Tunisia,"11,403"
Belgium,"11,348"
Bolivia,"10,888"
Benin,"10,872"
Haiti,"10,847"
Greece,"10,747"
Dominican Republic,"10,649"
Czech Republic,"10,562"
Burundi,"10,524"
Portugal,"10,325"
Sweden,"9,903"
Hungary,"9,818"
Azerbaijan,"9,762"
Belarus,"9,507"
Jordan,"9,456"
United Arab Emirates,"9,270"
Honduras,"9,113"
Austria,"8,747"
Tajikistan,"8,735"
Israel,"8,547"
Switzerland,"8,372"
Papua New Guinea,"8,085"
Togo,"7,606"
Sierra Leone,"7,396"
"Hong Kong SAR, China","7,347"
Bulgaria,"7,128"
Serbia,"7,057"
Lao PDR,"6,758"
Paraguay,"6,725"
El Salvador,"6,345"
Libya,"6,293"
Nicaragua,"6,150"
Kyrgyz Republic,"6,083"
Lebanon,"6,007"
Denmark,"5,731"
Turkmenistan,"5,663"
Singapore,"5,607"
Finland,"5,495"
Slovak Republic,"5,429"
Norway,"5,233"
"Congo, Rep.","5,126"
Eritrea,"4,955"
Costa Rica,"4,857"
Ireland,"4,773"
New Zealand,"4,693"
Liberia,"4,614"
Central African Republic,"4,595"
West Bank and Gaza,"4,552"
Oman,"4,425"
Mauritania,"4,301"
Croatia,"4,171"
Kuwait,"4,053"
Panama,"4,034"
Georgia,"3,719"
Moldova,"3,552"
Bosnia and Herzegovina,"3,517"
Uruguay,"3,444"
Puerto Rico,"3,411"
Mongolia,"3,027"
Armenia,"2,925"
Jamaica,"2,881"
Albania,"2,876"
Lithuania,"2,872"
Qatar,"2,570"
Namibia,"2,480"
Botswana,"2,250"
Lesotho,"2,204"
"Macedonia, FYR","2,081"
Slovenia,"2,065"
"Gambia, The","2,039"
Gabon,"1,980"
Latvia,"1,960"
Kosovo,"1,816"
Guinea-Bissau,"1,816"
Bahrain,"1,425"
Trinidad and Tobago,"1,365"
Swaziland,"1,343"
Estonia,"1,316"
Timor-Leste,"1,269"
Mauritius,"1,263"
Equatorial Guinea,"1,221"
Cyprus,"1,170"
Djibouti,942
Fiji,899
Bhutan,798
Comoros,796
Guyana,773
Montenegro,623
"Macao SAR, China",612
Solomon Islands,599
Luxembourg,583
Suriname,558
Cabo Verde,540
Malta,437
Brunei Darussalam,423
Maldives,417
"Bahamas, The",391
Belize,367
Iceland,334
Barbados,285
French Polynesia,280
New Caledonia,278
Vanuatu,270
São Tomé and Principe,200
Samoa,195
St. Lucia,178
Channel Islands,165
Guam,163
Curaçao,160
Kiribati,114
St. Vincent and the Grenadines,110
Grenada,107
Tonga,107
"Micronesia, Fed. Sts.",105
Aruba,105
Virgin Islands (U.S.),103
Antigua and Barbuda,101
Seychelles,95
Isle of Man,84
Andorra,77
Dominica,74
Bermuda,65
Cayman Islands,61
Greenland,56
American Samoa,56
Northern Mariana Islands,55
St. Kitts and Nevis,55
Marshall Islands,53
Faroe Islands,49
Sint Maarten (Dutch part),40
Monaco,38
Liechtenstein,38
Turks and Caicos Islands,35
Gibraltar,34
San Marino,33
St. Martin (French part),32
British Virgin Islands,31
Palau,22
Nauru,13
Tuvalu,11
