Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Refugee population by country or territory of asylum,SM.POP.REFG,Afghanistan,AFG,50,38,60025,32132,19131,19605,18775,5,..,..,..,6,3,22,30,32,35,42,37,37,6434,3009,16187,16863,300423,257554,59770,..
Refugee population by country or territory of asylum,SM.POP.REFG,Albania,ALB,..,..,3000,3000,3000,4720,4925,30,22332,3930,523,292,17,26,51,56,56,77,65,70,76,82,86,93,104,104,111,..
Refugee population by country or territory of asylum,SM.POP.REFG,Algeria,DZA,169110,169124,219314,219067,219073,192489,190267,170746,165226,165249,169656,169422,169233,169033,169048,94101,94180,94137,94093,94137,94144,94148,94133,94150,94128,94182,94220,..
Refugee population by country or territory of asylum,SM.POP.REFG,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Angola,AGO,11557,11022,11002,10878,10686,10884,9381,9364,10605,13071,12086,12250,12250,13382,13970,13984,13090,12069,12710,14734,15155,16223,23413,23783,15474,15555,15537,..
Refugee population by country or territory of asylum,SM.POP.REFG,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Argentina,ARG,11735,11529,11515,11636,11901,10314,10430,10522,2270,2345,2396,2396,2439,2642,2916,3074,3158,3263,2845,3230,3276,3361,3488,3362,3498,3207,3222,..
Refugee population by country or territory of asylum,SM.POP.REFG,Armenia,ARM,..,..,300000,334000,304039,218950,218950,219000,310012,296216,280591,264337,247550,239289,235235,219550,113714,4566,3953,3607,3296,2918,2854,13732,17640,19319,17873,..
Refugee population by country or territory of asylum,SM.POP.REFG,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,2,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Australia,AUS,97915,53117,52604,53505,57575,62145,67313,66074,69745,64918,60246,57895,59436,56258,63476,64964,68948,22164,20919,22548,21805,23434,30083,34503,35582,36917,42107,..
Refugee population by country or territory of asylum,SM.POP.REFG,Austria,AUT,34938,34508,62355,57687,40703,34385,89116,84394,80300,82081,15492,14390,14130,16109,17795,21230,25486,30773,37557,38906,42630,47073,51730,55598,60747,72216,93182,..
