Country Name,Latitude (average),Longitude (average),Series Name,Series Code,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Albania,41.0,20.0,Refugee population by country or territory of asylum,SM.POP.REFG,ALB,..,..,3000,3000,3000,4720,4925,30,22332,3930,523,292,17,26,51,56,56,77,65,70,76,82,86,93,104,104,111,..
Algeria,28.0,3.0,Refugee population by country or territory of asylum,SM.POP.REFG,DZA,169110,169124,219314,219067,219073,192489,190267,170746,165226,165249,169656,169422,169233,169033,169048,94101,94180,94137,94093,94137,94144,94148,94133,94150,94128,94182,94220,..
American Samoa,-14.3333,-170.0,Refugee population by country or territory of asylum,SM.POP.REFG,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,42.5,1.6,Refugee population by country or territory of asylum,SM.POP.REFG,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,-12.5,18.5,Refugee population by country or territory of asylum,SM.POP.REFG,AGO,11557,11022,11002,10878,10686,10884,9381,9364,10605,13071,12086,12250,12250,13382,13970,13984,13090,12069,12710,14734,15155,16223,23413,23783,15474,15555,15537,..
Antigua and Barbuda,17.05,-61.8,Refugee population by country or territory of asylum,SM.POP.REFG,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,..,..
Argentina,-34.0,-64.0,Refugee population by country or territory of asylum,SM.POP.REFG,ARG,11735,11529,11515,11636,11901,10314,10430,10522,2270,2345,2396,2396,2439,2642,2916,3074,3158,3263,2845,3230,3276,3361,3488,3362,3498,3207,3222,..
Armenia,40.0,45.0,Refugee population by country or territory of asylum,SM.POP.REFG,ARM,..,..,300000,334000,304039,218950,218950,219000,310012,296216,280591,264337,247550,239289,235235,219550,113714,4566,3953,3607,3296,2918,2854,13732,17640,19319,17873,..
Aruba,12.5,-69.9667,Refugee population by country or territory of asylum,SM.POP.REFG,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,2,..,..
Australia,-27.0,133.0,Refugee population by country or territory of asylum,SM.POP.REFG,AUS,97915,53117,52604,53505,57575,62145,67313,66074,69745,64918,60246,57895,59436,56258,63476,64964,68948,22164,20919,22548,21805,23434,30083,34503,35582,36917,42107,..
Austria,47.3333,13.3333,Refugee population by country or territory of asylum,SM.POP.REFG,AUT,34938,34508,62355,57687,40703,34385,89116,84394,80300,82081,15492,14390,14130,16109,17795,21230,25486,30773,37557,38906,42630,47073,51730,55598,60747,72216,93182,..
Azerbaijan,40.5,47.5,Refugee population by country or territory of asylum,SM.POP.REFG,AZE,..,..,246000,228840,231635,233682,233692,233715,221635,221643,287,367,458,326,8606,3004,2618,2352,2061,1642,1891,1730,1468,1380,1299,1278,1183,..
Bahrain,26.0,50.55,Refugee population by country or territory of asylum,SM.POP.REFG,BHR,1780,..,..,..,..,..,..,..,..,1,1,1,..,..,..,..,1,..,48,139,165,199,289,294,311,247,270,..
Bangladesh,24.0,90.0,Refugee population by country or territory of asylum,SM.POP.REFG,BGD,145,40260,245154,198954,116228,51118,30692,21603,22277,22210,21627,22173,22025,19792,20449,21098,26311,27573,28389,228586,229253,229669,230697,231145,232472,231958,276198,..
Barbados,13.1667,-59.5333,Refugee population by country or territory of asylum,SM.POP.REFG,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,..,..,..
Belarus,53.0,28.0,Refugee population by country or territory of asylum,SM.POP.REFG,BLR,..,..,..,..,1822,28988,30525,50,75,260,458,584,618,638,725,725,690,649,609,580,589,595,576,604,925,1809,1632,..
Belgium,50.8333,4.0,Refugee population by country or territory of asylum,SM.POP.REFG,BEL,25911,24071,24292,24908,19497,31691,36060,36060,15509,16760,18832,12265,12578,12595,13529,15282,16820,17575,17026,15545,17892,22402,22024,25629,29179,35314,42128,..
Belize,17.25,-88.75,Refugee population by country or territory of asylum,SM.POP.REFG,BLZ,30657,29969,20351,8912,8857,8750,8534,8387,3483,2891,1250,1129,1049,861,732,624,488,358,277,230,134,78,28,21,10,35,..,..
Benin,9.5,2.25,Refugee population by country or territory of asylum,SM.POP.REFG,BEN,456,456,293,156241,70406,23843,5960,2918,2903,3657,4296,4799,5021,5034,4802,30294,10797,7621,6933,7205,7139,7217,4966,194,415,530,799,..
Bermuda,32.3333,-64.75,Refugee population by country or territory of asylum,SM.POP.REFG,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,27.5,90.5,Refugee population by country or territory of asylum,SM.POP.REFG,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,44.0,18.0,Refugee population by country or territory of asylum,SM.POP.REFG,BIH,..,..,..,..,..,..,..,40000,40000,65645,38152,32745,28022,22517,22215,10568,10318,7367,7257,7132,7016,6933,6903,6926,6890,6798,5256,..
Botswana,-22.0,24.0,Refugee population by country or territory of asylum,SM.POP.REFG,BWA,1179,1054,497,514,503,266,214,281,2137,1296,3551,3581,2805,2838,2839,3109,3160,2465,3019,3022,2986,3312,2785,2773,2645,2130,2080,..
Brazil,-10.0,-55.0,Refugee population by country or territory of asylum,SM.POP.REFG,BRA,5335,5389,5439,6198,2223,2050,2212,2260,2347,2378,2722,2884,3182,3193,3345,3458,3492,20783,3852,4232,4357,4477,4689,5196,7490,8707,9634,..
Brunei Darussalam,4.5,114.6667,Refugee population by country or territory of asylum,SM.POP.REFG,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,43.0,25.0,Refugee population by country or territory of asylum,SM.POP.REFG,BGR,..,..,218,450,1060,1320,1430,390,240,547,1474,3004,3658,4068,4684,4413,4504,4836,5129,5393,5530,5688,2288,4320,11046,16557,17774,..
Burkina Faso,13.0,-2.0,Refugee population by country or territory of asylum,SM.POP.REFG,BFA,350,320,5670,6604,49990,29777,28381,1801,564,675,696,457,457,466,492,511,511,535,557,543,531,546,39306,29234,31894,34017,32546,..
Burundi,-3.5,30.0,Refugee population by country or territory of asylum,SM.POP.REFG,BDI,268403,270136,271745,271883,300302,173017,20733,22028,25093,22109,27136,27896,40533,40971,48808,20681,13176,24483,21093,24967,29365,35659,41813,45490,52936,53363,57462,..
Cambodia,13.0,105.0,Refugee population by country or territory of asylum,SM.POP.REFG,KHM,..,..,..,5,10,15,16,14,21,21,34,50,200,76,382,127,99,179,164,135,129,64,77,68,63,76,61,..
Cameroon,6.0,12.0,Refugee population by country or territory of asylum,SM.POP.REFG,CMR,49876,45237,42233,44013,44036,45781,46407,47057,47826,49227,43680,41186,58288,58583,58861,52042,35083,60137,81037,99957,104275,100373,98969,114753,264126,342973,375393,..
Canada,60.0,-95.0,Refugee population by country or territory of asylum,SM.POP.REFG,CAN,154761,170916,183723,183241,186563,152125,138435,125184,119371,123316,126991,129224,129950,133094,141398,147171,151827,175741,173651,169434,165549,164883,163756,160349,149163,135888,97311,..
Cayman Islands,19.5,-80.5,Refugee population by country or territory of asylum,SM.POP.REFG,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,3,3,6,6,12,13,..
Central African Republic,7.0,21.0,Refugee population by country or territory of asylum,SM.POP.REFG,CAF,4284,12223,19040,44129,47791,33856,36564,38499,43013,49314,55661,49239,50725,44753,25020,24569,12357,7535,7429,27047,21574,16730,14014,14322,7694,7330,12107,..
Chad,15.0,19.0,Refugee population by country or territory of asylum,SM.POP.REFG,TCD,..,..,70,70,109,100,100,302,8810,23478,17692,12950,33455,146400,259880,275412,286743,294017,330510,338495,347939,366494,373695,434479,452897,369540,391235,..
Chile,-30.0,-71.0,Refugee population by country or territory of asylum,SM.POP.REFG,CHL,58,72,142,239,217,283,313,276,305,323,364,389,413,466,569,806,1134,1376,1613,1539,1621,1674,1695,1743,1773,1849,1716,..
China,35.0,105.0,Refugee population by country or territory of asylum,SM.POP.REFG,CHN,287276,289061,288123,287423,287066,288309,290100,291507,292345,293299,294110,295325,297277,299354,299375,301041,301027,301078,300967,300989,300986,301018,301037,301047,301052,301052,317239,..
Colombia,4.0,-72.0,Refugee population by country or territory of asylum,SM.POP.REFG,COL,460,450,478,298,316,218,220,223,226,230,239,210,205,186,141,155,143,168,170,196,212,219,219,224,213,226,221,..
Comoros,-12.1667,44.25,Refugee population by country or territory of asylum,SM.POP.REFG,COM,..,..,..,..,..,..,..,..,..,9,11,13,..,..,..,1,1,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,10.0,-84.0,Refugee population by country or territory of asylum,SM.POP.REFG,CRI,276210,117492,114392,24834,24630,24226,23176,23114,22986,22903,5519,8104,12433,13508,10413,11253,11515,17190,18136,19116,19505,20057,20449,20569,20744,3616,4152,..
Croatia,45.1667,15.5,Refugee population by country or territory of asylum,SM.POP.REFG,HRV,..,..,403000,287000,183600,198647,165395,68863,29027,28374,22437,21875,8392,4387,3663,2927,2443,1642,1597,1238,936,824,724,684,726,522,255,..
Cuba,21.5,-80.0,Refugee population by country or territory of asylum,SM.POP.REFG,CUB,3988,..,5092,3606,2002,1829,1694,1280,1067,967,954,1036,1005,836,795,706,667,615,525,454,411,384,371,384,280,303,312,..
Cyprus,35.0,33.0,Refugee population by country or territory of asylum,SM.POP.REFG,CYP,33,60,80,82,66,55,49,43,84,117,76,83,173,349,531,701,924,1194,1465,2888,3394,3503,3631,3883,5126,7067,8433,..
Czech Republic,49.75,15.5,Refugee population by country or territory of asylum,SM.POP.REFG,CZE,..,691,9399,188,1186,2655,2266,1731,1805,1232,1186,1216,1297,1516,1144,1802,1887,2037,2110,2323,2449,2449,2805,2979,3137,3644,3580,..
Denmark,56.0,10.0,Refugee population by country or territory of asylum,SM.POP.REFG,DNK,32906,36110,39118,44564,49558,64844,66373,68122,69015,69006,71035,73284,73597,69858,65310,44374,36659,26788,23401,20355,17922,13399,11814,13170,17785,27326,33436,..
