Country Name,Latitude (average),Longitude (average),Series Name,Series Code,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Albania,41.0,20.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,ALB,1822,3540,4353,4744,5019,5803,5785,5379,5353,6288,6802,7626,10761,10385,10470,12722,14080,15340,15006,15711,14772,13551,12568,10103,10158,10408,11050,..
Algeria,28.0,3.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,DZA,19,55,71,86,20743,1520,2247,3418,5727,7151,8034,8418,12107,11667,10691,12041,8353,10615,9060,8185,6689,6121,5677,3660,3524,3490,3675,..
American Samoa,-14.3333,-170.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,42.5,1.6,Refugee population by country or territory of origin,SM.POP.REFG.OR,AND,..,..,..,..,2,2,3,1,2,3,2,1,10,10,3,9,10,9,6,6,6,6,7,5,7,5,..,..
Angola,-12.5,18.5,Refugee population by country or territory of origin,SM.POP.REFG.OR,AGO,407760,381636,300492,323831,282577,246657,249687,267696,319430,353478,433760,470625,435421,329583,228838,215827,206501,186155,171393,141021,134858,128664,19258,10286,9484,11869,8363,..
Antigua and Barbuda,17.05,-61.8,Refugee population by country or territory of origin,SM.POP.REFG.OR,ATG,..,..,..,..,..,..,..,1,2,2,1,4,5,5,13,13,19,25,26,28,30,32,45,49,53,56,77,..
Argentina,-34.0,-64.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,ARG,334,198,113,98,469,330,217,159,142,586,609,659,771,784,796,856,894,1171,1047,608,557,518,447,388,318,194,115,..
Armenia,40.0,45.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,ARM,1,1,195003,200116,201842,201442,203231,203690,193150,193231,5786,7207,13249,13162,13424,13965,14918,15436,16336,18000,17547,16487,15935,11998,11848,11214,10687,..
Aruba,12.5,-69.9667,Refugee population by country or territory of origin,SM.POP.REFG.OR,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,-27.0,133.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,AUS,..,..,..,..,2,1,1,2,1,3,3,1,10,15,13,44,29,63,43,28,37,39,48,28,25,20,..,..
Austria,47.3333,13.3333,Refugee population by country or territory of origin,SM.POP.REFG.OR,AUT,..,..,..,..,60,49,52,55,60,48,35,29,72,66,47,66,34,23,14,12,10,11,12,10,10,4,..,..
Azerbaijan,40.5,47.5,Refugee population by country or territory of origin,SM.POP.REFG.OR,AZE,..,..,300000,328005,299095,200520,236086,234950,329657,311131,284277,268759,260214,253255,250583,233675,126068,15916,16319,16939,16753,16162,15537,10814,10515,9710,10087,..
Bahrain,26.0,50.55,Refugee population by country or territory of origin,SM.POP.REFG.OR,BHR,39,52,53,60,75,71,63,82,97,129,95,46,50,52,52,41,62,73,80,79,87,215,297,275,347,421,446,..
Bangladesh,24.0,90.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,BGD,477,611,53921,57158,56199,56956,57959,44373,4658,4468,5401,5548,5808,5565,5731,7304,7803,10243,10098,10432,10049,10056,10161,9728,10883,12173,13810,..
Barbados,13.1667,-59.5333,Refugee population by country or territory of origin,SM.POP.REFG.OR,BRB,..,..,..,..,4,3,2,3,5,4,8,7,9,11,7,8,27,38,34,29,32,45,55,67,86,99,144,..
Belarus,53.0,28.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,BLR,..,..,..,2,37,84,501,303,290,1507,2519,3696,6364,7815,8244,8857,9371,4970,5384,5525,5743,5925,6191,4397,4300,4125,3824,..
Belgium,50.8333,4.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,BEL,..,..,..,..,2,3,5,10,14,16,19,13,27,40,45,95,64,60,61,71,83,90,93,78,75,65,44,..
Belize,17.25,-88.75,Refugee population by country or territory of origin,SM.POP.REFG.OR,BLZ,..,..,..,..,8,8,3,..,..,11,12,..,1,10,9,8,18,17,20,17,23,32,39,40,45,51,53,..
Benin,9.5,2.25,Refugee population by country or territory of origin,SM.POP.REFG.OR,BEN,2,4,4,68,77,54,46,46,56,52,54,55,232,282,309,411,215,271,318,411,442,461,457,302,340,412,464,..
